sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
A11000,,Chemicals_src,simple,"Default Category",base,"Auto Wash - Sample","Auto Wash - Sample sample sample","Auto Wash - Sample",20.000000,2,"Taxable Goods","Not Visible Individually",220.000000,,,,auto-wash-32,,,,,,,,,,,,"3/7/16, 3:31 AM","5/29/21, 12:32 PM",,,"Product Info Column",,,2,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=1.060000,is_recurring=No,size=946 ml",1000.0000,0.0000,0,0,0,0,1.0000,0,10000.0000,1,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A11004,,Chemicals_src,simple,"Default Category",base,"Auto Wash - 500ml","Auto Wash - 500ml","Auto Wash - 500ml",20.000000,2,"Taxable Goods","Not Visible Individually",3.170000,,,,auto-wash-33,,,,,,,,,,,,"3/7/16, 3:31 AM","5/29/21, 12:33 PM",,,"Product Info Column",,,2,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=1.430000,is_recurring=No,size=500 ml",1000.0000,0.0000,0,0,0,0,1.0000,0,10000.0000,1,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A11012-34,,Chemicals_src,simple,"Default Category/Auto Detailing/Products/Car Wash",base,"Auto Wash - 3.78L","Auto Wash car wash and shine is a one step wash and shine designed to give outstanding results with maximum economy. It produces abundant suds, loosens the most stubborn soils, and rinses easily. A lustrous sheen is achieved with little or no drying. Certified biodegradable according to OECD-301 testing.",A11012,20.000000,1,"Taxable Goods","Not Visible Individually",45.500000,,,,auto-wash-34,,,,/a/1/a11012_auto_valet_auto_wash_-_4_liter_2.jpg,,/a/1/a11012_auto_valet_auto_wash_-_4_liter_2.jpg,,/a/1/a11012_auto_valet_auto_wash_-_4_liter_2.jpg,,/a/1/a11012_auto_valet_auto_wash_-_4_liter_2.jpg,,"3/7/16, 3:31 AM","5/1/22, 7:44 AM",,,"Product Info Column",,,2,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=9.100000,is_recurring=No,size=3.78 L Jug",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,/a/1/a11012_auto_valet_auto_wash_-_4_liter_2.jpg,,,,,,,,,,,,,,
A11014,,Default,simple,"Default Category/Auto Detailing/Products/Car Wash",base,"Auto Wash - 18.9L","Auto Wash ?????"" car wash and shine is a one step wash and shine designed to give outstanding results with maximum economy. It produces abundant suds, loosens the most stubborn soils, and rinses easily. A lustrous sheen is achieved with little or no drying. Certified biodegradable according to OECD-301 testing.","Auto Wash - 18.9L",20.000000,1,"Taxable Goods","Not Visible Individually",211.700000,,,,auto-wash-35,,,,a/1/a11014_auto_valet_auto_wash_-_20_liter.jpg,,a/1/a11014_auto_valet_auto_wash_-_20_liter.jpg,,a/1/a11014_auto_valet_auto_wash_-_20_liter.jpg,,,,"3/7/16, 3:31 AM","3/16/22, 10:15 AM",,,"Product Info Column",,,,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=42.340000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,a/1/a11014_auto_valet_auto_wash_-_20_liter.jpg,,,,,,,,,,,,,,
A11016,,Default,simple,,base,"Auto Wash - 56.8L","Auto Wash ?????"" car wash and shine is a one step wash and shine designed to give outstanding results with maximum economy. It produces abundant suds, loosens the most stubborn soils, and rinses easily. A lustrous sheen is achieved with little or no drying. Certified biodegradable according to OECD-301 testing.","Auto Wash - 56.8L",20.000000,1,"Taxable Goods","Not Visible Individually",599.550000,,,,auto-wash-36,,,,k/e/keg_5.jpg,,k/e/keg_5.jpg,,k/e/keg_5.jpg,,,,"3/7/16, 3:31 AM","3/16/22, 10:17 AM",,,"Product Info Column",,,2,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=119.910000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,k/e/keg_5.jpg,,,,,,,,,,,,,,
A11018,,Default,simple,,base,"Auto Wash  -  208.2L","Auto Wash car wash and shine is a one step wash and shine designed to give outstanding results with maximum economy. It produces abundant suds, loosens the most stubborn soils, and rinses easily. A lustrous sheen is achieved with little or no drying. Certified biodegradable according to OECD-301 testing.","Auto Wash  -  208.2L",20.000000,1,"Taxable Goods","Not Visible Individually",1624.000000,,,,auto-wash-37,,,,d/r/drum_7.jpg,,d/r/drum_7.jpg,,d/r/drum_7.jpg,,,,"3/7/16, 3:31 AM","3/16/22, 10:19 AM",,,"Product Info Column",,,,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=324.800000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,d/r/drum_7.jpg,,,,,,,,,,,,,,
A11018,default,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11200,,Default,simple,"Default Category",base,"Eco Kleen - Sample","Eco Kleen  -  Sample","Eco Kleen  -  Sample",20.000000,2,"Taxable Goods","Not Visible Individually",2.020000,,,,eco-kleen-38,,,,,,,,,,,,"3/7/16, 3:31 AM","7/5/16, 2:13 AM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=0.910000,is_recurring=No",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A11204,,Default,simple,"Default Category",base,"Eco Kleen  - 500ml","Eco Kleen  - 500ml","Eco Kleen  - 500ml",20.000000,2,"Taxable Goods","Not Visible Individually",2.560000,,,,eco-kleen-39,,,,,,,,,,,,"3/7/16, 3:31 AM","7/5/16, 2:13 AM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=1.150000,is_recurring=No",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A11212,,Default,simple,,base,"Eco Kleen  - 3.78L","Eco Kleen is a high quality car wash soap with medium viscosity intended for use with a proportioner in cloth or brush tunnel washes, foam brushes and also for hand washing. It features superior cleaning, rich foam, high lubricity and streak-free rinsing. Certified biodegradable according to OECD-301 testing.","Eco Kleen  - 3.78L",20.000000,2,"Taxable Goods","Not Visible Individually",33.000000,,,,eco-kleen-40,,,,a/1/a11212_1.jpg,,a/1/a11212_1.jpg,,a/1/a11212_1.jpg,,,,"3/7/16, 3:31 AM","8/20/18, 4:19 PM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=6.600000,is_recurring=No",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,a/1/a11212_1.jpg,,,,,,,,,,,,,,
